Name,Qty,Fee
     [BIH00001006] High Bay 100W Badienoor (6500K),26,5.13
     [LDHL6005503] Hanging Lamp 60055 Black Loox (2700K),94,5.75
     [LDHL6005504] Hanging Lamp 60055 Black Loox (4000K),32,8.37
     [LDHW6005503] Hanging Lamp 60055 White Loox (2700K),92,5.08
     [LDHW6005504] Hanging Lamp 60055 White Loox (4000K),26,11.2
"     [LLNCC1D0043] Dimmable Filament Candle 4W Loox (2700K, E14)",798,0.49
     [PIH00002006] High Bay 200w ParsLoox (6500K),73,4.85
     [1010011412B] 12W E14 3C Bulb Gtq,1,1.73
     [10100240038] 4W Filament Star Lamp 2700K,65,2.74
     [10100240950] 40 W Filament Lamp Os-St-G95,33,0.45
     [101004000000] Socket Mr16,86,0.12
     [10100500000] Sucket Gu10,1370,0.11
     [10101290067] 9 W Mirror tube light WH OS OQE7113,1,2.31
     [1103252237] 25W Cob Downlight 3000K Aroosha,53,0.88
     [1110410137BL] 10W Cob Wall Light Yd9033 Ww/Bl Body,4,3
     [111043067WH] 3 W Cob Led White Wall Light 811-1-3/100Ps Wh,198,0.88
     [111043067WW] 3 W Cob Led White Wall Light 811-1-3/100Ps Ww,250,0.81
     [1111012UL] 12W Led Ceiling Lamp Ultra,5,3.2
     [1111024021G] 40W Wall Light 3C Gold Body Oqcd385,87,2.7
     [1111024021W] 40W Wall Light 3C White Body Oqcd385,2,15
     [111102721G7] 7 W Down Light Gold Body +3C Yjxx-205,9,0.6
     [111102721W7] 7 W Down Light White Body +3C Yjxx-205,142,0.72
     [11110325267] 25 W Led Cob Down Light 6500K,20,6.68
     [11110370267] 7W Led Cob Down Light Movable 6500K Aroosha,1,0.85
     [11110422087B] 22W Celing Light Blue H-087/10P,2,5.67
     [11110422087T] 22W Celing Light H-087 /10 Ps -T,2,22.68
     [1111042421W+GD] Celing Light 2421/2 W+Gd,11,3.42
     [11110430137] 3W Square Wall Light Djd-8615-86- Ww,6,1.16
     [11111300ST] Outdoor Wall Light White Body,11,6.46
     [1111201131] 20W Led Oval Wall Lamp White 2700K  M I Iran,61,1.03
"     [1111242468] Wall Light 24W Eye Kandovan White Loox (6500K, ROUND)",32,0.47
     [111150145] 50W Oval Grills Without Lamp - Black Omilex,39,0.11
     [1111502165] 50W Led Oval Wall Lamp White 6500K Omilex Led,10,0.49
     [111150245] 50W Oval Shade Without Lamp - Black Omilex,24,0.27
     [112046037WH] 6 W Cob Led White Two Side Wall Light 811-2 Ww/Wh Body,93,1.21
     [1129260600] 60*60 Surface mounting kit for Panel Light,1,11.22
     [1502044635BK] 6W Led Wall Lighting 2044 Black Housing 2700K,14,2.15
     [1502044635WH] 6W Led Wall Lighting 2044 White Housing 2700,3,10.72
     [1502090008] Gu10 Wall Lamp 92*66*150 Aluminum +Pc Ip44 8104,1,53.76
"     [1502090638] 6W Led Wall Lighting,274*83*112Mm Class 2700K ,Ip54,Aluminium Loox",2,3
     [15022710WW] Wall Lampm2710/12P Ww,1,1.9
     [150235033C] Wall Lamp M3503 /12P 3C,1,5.86
     [150302124L] Wall Chandelier L2124,2,5.8
     [150303112] Wall Chandelier 3112,3,3.04
     [150303317] Wall Chandelier 3317,10,2.9
"     [1503110535] Cob Spot Light Cree Chip Black - Omilex Sp1 (5W, 2700K)",1621,0.28
"     [1503110565] Cob Spot Light Cree Chip Black - Omilex Sp1 (5W, 6500K)",7,0.46
"     [15031105Y5] Cob Spot Light Cree Chip Black - Omilex Sp1 (5W, YELLOW)",5,0.5
"     [1503110735] Cob Spot Light Cree Chip Black - Omilex Sp1 (7W, 2700K)",197,0.44
"     [1503111235] Cob Spot Light Cree Chip Black - Omilex Sp1 (12W, 2700K)",63,0.62
"     [1505060838] 8W Led Recessed Lighting,Size:140X70X71Mmlclass 2700K With Sensor + Aluminium Loox",2,7.2
     [151501KN053] Decoration Wall Light 5w 2700K KNX N/M (White),1,3.83
     [15150200DW7] Decoration Led Lights Ww Qp-18-830/100Ps,13,1.51
     [1515020DWW7] Decoration Led Lights Wh Qp-18-830/100Ps,1,13
     [1515025SNO7] 4.8 W Led &Laser Snowflake Bulb Os-Wt -Ht-6-E27/80Ps,2,3.99
     [1515036659] Chandelier 66593,2,4
     [15150408267] 8W Decoration White Four Side Wall Light Ww /Wh Body,13,4.6
     [1515048015] Decoration Led Lights 480 /25P Red,6,4
